Afișează animale,2025-06-05T15:48:42.862937682
Afișează animale după specie,2025-06-05T15:49:00.955991427
Adaugă adoptant,2025-06-05T15:49:51.950965963
Adaugă donație,2025-06-05T15:50:28.775062341
Adaugă adopție,2025-06-05T15:50:53.476115440
Afișează animale,2025-06-05T15:51:00.152116793
Afișează adoptanți,2025-06-05T15:51:18.454626605
Afișează animale,2025-06-05T15:51:43.295955030
Ieșire program,2025-06-05T15:51:48.988181425
Adaugă adopție și șterge animal adoptat,2025-06-05T15:53:53.640047888
Afișează animale,2025-06-05T15:53:58.292639261
Ieșire program,2025-06-05T15:54:17.504535377
Adaugă animal,2025-06-05T16:03:02.459925923
Afișează animale,2025-06-05T16:03:07.487531865
Ieșire program,2025-06-05T16:03:26.923995708
Ieșire program,2025-06-05T18:05:24.549115293
Adaugă animal,2025-06-05T19:02:28.698583444
Adaugă animal,2025-06-05T19:03:40.397120552
Ieșire program,2025-06-05T19:23:10.108454890
Adaugă angajat,2025-06-06T14:40:13.972143247
Afișează angajați,2025-06-06T14:40:22.558651342
